10000000 f5991000
fb13f5bb f7bf0207
10000000 f92e1000
fa4cff6c fd6bf90e
fcc0fae3 fdb0fc04
10000000 01ce1000
fc8afe5d 017bfdb9
fedefca6 fbacfe5f
ff4bfd97 fda9ff06
10000000 fd8b1000
ff92004e ffbdfba6
fe3900df 00f4fc94
fb23fc71 00a10237
fd25fb98 fc07fbdb
10000000 fca21000
fecdff24 ffaffef1
fe84fe4b 0000fe61
fc6a0078 fd8dfd6a
fdb0ffef 0049fbc6
fd6d007f 01550042
10000000 fc6b1000
00befeca fd2a00b7
fd320087 fb9bfab7
fc97ff8f ffb6fd9c
fffa03ee ffce01fe
fdeffbb2 faecff80
fae9fc55 0005037c
10000000 fff31000
023cfd2b fef300a6
faacfd66 0081ff67
ff1afeec ff0afd96
01e5011d fc9aff86
fd10fce2 004bfcdb
01b2fc69 0117fede
034cfe75 fdde007d
10000000 fbcd1000
fe1501f5 0233fe67
fd250236 018dfecc
019efbec 000dfc84
fe93fa1a 000afe14
0158003d faf90295
fe880031 fd7ffdba
fb04030c ff2efdcf
00aefd3e fd24013e
10000000 ff021000
fdfcfd0e fd0efec1
03b9fc6a fd070042
0019fd00 019aff18
fdf1febf fd200308
fe8cfd34 fdd500a3
fecfff8a fe64ff5d
fce002f5 fd5d000b
fe9c0158 00e000b2
021901e4 0103feba
10000000 fba21000
028ffe95 fffb00e3
fe52fea6 fba0fdb3
003efe97 01760056
0029fdb6 fe15ffe5
fda7ff75 0124fbee
0351fe58 ff59fd86
fbd5fde0 fe62feae
01f5fe55 ff1b006e
0067ff8d 01c3025b
ffe2fe46 01e900d8
10000000 fdaf1000
008ffeec ff5efefd
ff9afea2 feacfece
fd7ffc33 ff00fc06
fcecff37 0118fda7
028b006c 04c9ffa5
0095ff32 0004fcb6
ff7b01c4 ff62fe92
fe830033 0079fd1e
0165fc41 fd5701c0
fe91fd02 fd2cff7b
00a1ffc5 0534fc4a
10000000 ffa01000
01c8011a fb3b0020
fe2bff63 0015ff70
02dbfcec ffebff8a
00f4fea1 0346fec6
ffdd0172 fd94fdf5
fbe7feda 0061fe8b
fec9fe7f fe7e0042
fce1ff1c fec20235
012c0252 005dff6f
fc36001d fffefe2a
fdf4ff0a 040dff28
fdc1004f 007b00f7
10000000 f94e1000
fd25fdb6 fff803c0
fb61fe25 01a8fbf1
ff7bff72 ff54fe53
fcfb0155 0113023a
028a0145 ff68fe6a
008f0108 feddfe58
fe52ffe8 002dff24
fef903f8 fd3d006c
ff12ffbf fe4b0094
fd9000c6 fc34fc59
fc68027b 00030206
fcd302e1 008afe1c
ff17fe50 00c5ffc1
10000000 fd711000
fe19fd42 fd8ffd32
0032fe3f ff50fd71
0132fce5 fdb30283
0085ff4e 003f011a
0188ff99 011afe45
fd68020f fef7fced
00d8fe5e fce8fc80
02e2ff7d fe5affe6
001000c6 fdc5003f
ff29008a ff2f026e
fbdcfcfd 043800cb
01aefeeb 00cfff76
fe2ffee8 0096fe96
fe02ff99 0077fda5
10000000 010a1000
